Timestamp,Solaire (MW),Éolien (MW),Hydroélectrique (MW),Gaz (MW),Cycle à Vapeur (MW)
2025-01-15 12:50:46.852379,152,377,314,841,303
2025-01-15 13:50:46.852379,485,219,584,710,618
2025-01-15 14:50:46.852379,398,220,473,492,554
2025-01-15 15:50:46.852379,320,398,563,219,351
2025-01-15 16:50:46.852379,156,341,297,481,187
2025-01-15 17:50:46.852379,121,146,299,996,337
2025-01-15 18:50:46.852379,238,163,124,200,206
2025-01-15 19:50:46.852379,70,87,565,318,169
2025-01-15 20:50:46.852379,152,73,188,234,422
2025-01-15 21:50:46.852379,171,202,367,397,268
2025-01-15 22:50:46.852379,264,189,242,684,665
2025-01-15 23:50:46.852379,380,202,158,956,370
2025-01-16 00:50:46.852379,137,346,509,258,675
2025-01-16 01:50:46.852379,422,332,588,360,664
2025-01-16 02:50:46.852379,149,178,464,890,485
2025-01-16 03:50:46.852379,409,109,125,405,204
2025-01-16 04:50:46.852379,201,242,146,211,649
2025-01-16 05:50:46.852379,180,232,387,689,685
2025-01-16 06:50:46.852379,199,281,365,475,311
2025-01-16 07:50:46.852379,358,258,115,892,308
2025-01-16 08:50:46.852379,307,193,298,441,337
2025-01-16 09:50:46.852379,393,256,500,415,209
2025-01-16 10:50:46.852379,463,176,506,450,468
2025-01-16 11:50:46.852379,343,49,381,325,360
2025-01-16 12:50:46.852379,435,76,568,416,555
2025-01-16 13:50:46.852379,241,262,185,505,258
2025-01-16 14:50:46.852379,493,334,349,996,225
2025-01-16 15:50:46.852379,326,43,490,384,691
2025-01-16 16:50:46.852379,210,172,369,238,463
2025-01-16 17:50:46.852379,363,30,434,422,266
2025-01-16 18:50:46.852379,71,83,216,383,168
2025-01-16 19:50:46.852379,302,288,106,694,581
2025-01-16 20:50:46.852379,285,173,236,626,499
2025-01-16 21:50:46.852379,394,41,470,377,332
2025-01-16 22:50:46.852379,98,359,275,627,262
2025-01-16 23:50:46.852379,108,253,427,493,332
2025-01-17 00:50:46.852379,219,301,597,350,630
2025-01-17 01:50:46.852379,237,387,414,583,295
2025-01-17 02:50:46.852379,320,185,314,837,262
2025-01-17 03:50:46.852379,239,37,576,507,625
2025-01-17 04:50:46.852379,495,151,181,535,452
2025-01-17 05:50:46.852379,224,377,322,945,267
2025-01-17 06:50:46.852379,495,193,577,574,310
2025-01-17 07:50:46.852379,100,119,471,207,550
2025-01-17 08:50:46.852379,413,165,522,540,347
2025-01-17 09:50:46.852379,104,215,582,328,409
2025-01-17 10:50:46.852379,293,345,501,975,196
2025-01-17 11:50:46.852379,369,207,542,868,548
2025-01-17 12:50:46.852379,180,57,589,551,227
2025-01-17 13:50:46.852379,356,249,202,557,273
2025-01-17 14:50:46.852379,184,386,372,716,224
2025-01-17 15:50:46.852379,70,70,113,694,286
2025-01-17 16:50:46.852379,378,257,258,285,549
2025-01-17 17:50:46.852379,216,221,251,374,654
2025-01-17 18:50:46.852379,323,174,582,392,649
2025-01-17 19:50:46.852379,437,230,207,510,287
2025-01-17 20:50:46.852379,138,241,287,318,199
2025-01-17 21:50:46.852379,365,249,400,417,403
2025-01-17 22:50:46.852379,63,269,197,626,575
2025-01-17 23:50:46.852379,291,75,230,613,696
2025-01-18 00:50:46.852379,314,64,392,313,451
2025-01-18 01:50:46.852379,395,282,270,344,498
2025-01-18 02:50:46.852379,102,111,523,737,198
2025-01-18 03:50:46.852379,435,285,573,847,223
2025-01-18 04:50:46.852379,389,226,282,502,410
2025-01-18 05:50:46.852379,141,332,570,943,505
2025-01-18 06:50:46.852379,416,39,463,787,409
2025-01-18 07:50:46.852379,493,341,138,544,444
2025-01-18 08:50:46.852379,477,315,114,200,462
2025-01-18 09:50:46.852379,313,271,475,346,331
2025-01-18 10:50:46.852379,480,280,596,486,513
2025-01-18 11:50:46.852379,84,394,103,853,337
2025-01-18 12:50:46.852379,255,34,448,252,692
2025-01-18 13:50:46.852379,130,148,569,503,697
2025-01-18 14:50:46.852379,469,318,508,268,557
2025-01-18 15:50:46.852379,99,94,496,560,563
2025-01-18 16:50:46.852379,409,175,309,801,491
2025-01-18 17:50:46.852379,437,253,260,419,369
2025-01-18 18:50:46.852379,51,268,115,903,312
2025-01-18 19:50:46.852379,439,206,592,774,369
2025-01-18 20:50:46.852379,103,296,525,784,419
2025-01-18 21:50:46.852379,155,370,207,360,549
2025-01-18 22:50:46.852379,309,311,481,880,331
2025-01-18 23:50:46.852379,359,92,549,288,354
2025-01-19 00:50:46.852379,240,246,410,887,377
2025-01-19 01:50:46.852379,451,371,326,980,399
2025-01-19 02:50:46.852379,267,344,269,784,590
2025-01-19 03:50:46.852379,93,312,133,956,682
2025-01-19 04:50:46.852379,211,206,513,788,345
2025-01-19 05:50:46.852379,251,127,350,358,668
2025-01-19 06:50:46.852379,495,134,346,688,219
2025-01-19 07:50:46.852379,319,128,368,523,548
2025-01-19 08:50:46.852379,400,340,240,809,352
2025-01-19 09:50:46.852379,353,35,373,580,297
2025-01-19 10:50:46.852379,320,226,515,301,621
2025-01-19 11:50:46.852379,264,380,195,693,348
2025-01-19 12:50:46.852379,301,162,326,843,575
2025-01-19 13:50:46.852379,239,387,478,813,641
2025-01-19 14:50:46.852379,345,288,138,218,291
2025-01-19 15:50:46.852379,262,52,401,653,462
2025-01-19 16:50:46.852379,257,82,599,681,314
2025-01-19 17:50:46.852379,286,194,128,793,463
2025-01-19 18:50:46.852379,387,231,545,596,170
2025-01-19 19:50:46.852379,416,112,596,478,231
2025-01-19 20:50:46.852379,102,174,576,564,280
2025-01-19 21:50:46.852379,329,114,417,530,454
2025-01-19 22:50:46.852379,459,107,344,840,520
2025-01-19 23:50:46.852379,266,395,335,543,533
2025-01-20 00:50:46.852379,301,30,284,654,594
2025-01-20 01:50:46.852379,237,80,371,800,574
2025-01-20 02:50:46.852379,429,202,539,924,310
2025-01-20 03:50:46.852379,90,234,335,854,327
2025-01-20 04:50:46.852379,206,289,338,264,639
2025-01-20 05:50:46.852379,64,398,476,275,476
2025-01-20 06:50:46.852379,350,317,365,910,438
2025-01-20 07:50:46.852379,114,63,513,342,503
2025-01-20 08:50:46.852379,394,377,508,804,177
2025-01-20 09:50:46.852379,376,124,458,672,192
2025-01-20 10:50:46.852379,58,101,439,616,572
2025-01-20 11:50:46.852379,393,68,488,504,326
2025-01-20 12:50:46.852379,178,183,164,935,678
2025-01-20 13:50:46.852379,185,279,577,696,643
2025-01-20 14:50:46.852379,112,191,276,490,347
2025-01-20 15:50:46.852379,188,147,102,301,666
2025-01-20 16:50:46.852379,130,288,528,466,663
2025-01-20 17:50:46.852379,441,335,241,821,171
2025-01-20 18:50:46.852379,212,297,475,976,261
2025-01-20 19:50:46.852379,468,83,257,202,206
2025-01-20 20:50:46.852379,338,265,597,284,215
2025-01-20 21:50:46.852379,428,251,423,993,247
2025-01-20 22:50:46.852379,310,280,245,527,293
2025-01-20 23:50:46.852379,280,342,545,649,584
2025-01-21 00:50:46.852379,90,141,392,653,235
2025-01-21 01:50:46.852379,77,284,252,828,493
2025-01-21 02:50:46.852379,184,332,531,420,443
2025-01-21 03:50:46.852379,250,236,292,353,392
2025-01-21 04:50:46.852379,377,258,536,864,181
2025-01-21 05:50:46.852379,317,370,593,211,540
2025-01-21 06:50:46.852379,467,95,562,332,426
2025-01-21 07:50:46.852379,82,104,172,503,681
2025-01-21 08:50:46.852379,97,132,498,492,303
2025-01-21 09:50:46.852379,456,221,404,499,532
2025-01-21 10:50:46.852379,111,281,476,939,217
2025-01-21 11:50:46.852379,265,255,443,982,363
2025-01-21 12:50:46.852379,342,323,551,242,525
2025-01-21 13:50:46.852379,148,335,239,542,362
2025-01-21 14:50:46.852379,221,127,286,525,228
2025-01-21 15:50:46.852379,409,367,392,697,530
2025-01-21 16:50:46.852379,263,315,160,563,207
2025-01-21 17:50:46.852379,84,364,584,626,175
2025-01-21 18:50:46.852379,498,376,526,220,596
2025-01-21 19:50:46.852379,276,337,479,606,215
2025-01-21 20:50:46.852379,150,278,297,818,403
2025-01-21 21:50:46.852379,480,195,394,535,193
2025-01-21 22:50:46.852379,180,364,539,316,246
2025-01-21 23:50:46.852379,306,59,418,323,376
2025-01-22 00:50:46.852379,54,276,401,598,585
2025-01-22 01:50:46.852379,267,135,443,992,528
2025-01-22 02:50:46.852379,304,80,110,914,327
2025-01-22 03:50:46.852379,447,110,161,250,576
2025-01-22 04:50:46.852379,408,162,432,982,456
2025-01-22 05:50:46.852379,332,314,325,523,653
2025-01-22 06:50:46.852379,442,167,252,988,417
2025-01-22 07:50:46.852379,256,213,298,340,157
2025-01-22 08:50:46.852379,64,359,151,669,657
2025-01-22 09:50:46.852379,395,302,359,986,625
2025-01-22 10:50:46.852379,91,369,158,533,446
2025-01-22 11:50:46.852379,429,98,171,572,313
2025-01-22 12:50:46.852379,228,63,247,763,634
2025-01-22 13:50:46.852379,112,291,448,693,221
2025-01-22 14:50:46.852379,401,82,162,738,387
2025-01-22 15:50:46.852379,280,234,409,868,253
2025-01-22 16:50:46.852379,290,155,472,950,359
2025-01-22 17:50:46.852379,101,264,342,355,617
2025-01-22 18:50:46.852379,145,72,592,490,603
2025-01-22 19:50:46.852379,437,269,465,847,417
2025-01-22 20:50:46.852379,271,140,429,343,535
2025-01-22 21:50:46.852379,456,278,206,305,536
2025-01-22 22:50:46.852379,280,180,325,619,408
2025-01-22 23:50:46.852379,286,212,412,869,432
2025-01-23 00:50:46.852379,192,365,317,857,189
2025-01-23 01:50:46.852379,220,124,524,201,635
2025-01-23 02:50:46.852379,78,37,340,788,369
2025-01-23 03:50:46.852379,85,389,358,843,278
2025-01-23 04:50:46.852379,62,213,475,289,669
2025-01-23 05:50:46.852379,209,310,361,544,409
2025-01-23 06:50:46.852379,376,224,104,549,515
2025-01-23 07:50:46.852379,236,381,360,658,693
2025-01-23 08:50:46.852379,292,224,153,462,673
2025-01-23 09:50:46.852379,135,184,146,550,165
2025-01-23 10:50:46.852379,333,122,314,307,278
2025-01-23 11:50:46.852379,115,189,276,785,258
2025-01-23 12:50:46.852379,219,90,108,238,682
2025-01-23 13:50:46.852379,94,151,198,358,418
2025-01-23 14:50:46.852379,111,80,119,782,311
2025-01-23 15:50:46.852379,490,306,477,511,409
2025-01-23 16:50:46.852379,183,34,340,440,251
2025-01-23 17:50:46.852379,333,121,160,644,655
2025-01-23 18:50:46.852379,77,199,478,497,396
2025-01-23 19:50:46.852379,157,346,589,235,686
2025-01-23 20:50:46.852379,93,51,518,283,280
2025-01-23 21:50:46.852379,389,355,277,651,502
2025-01-23 22:50:46.852379,335,30,437,974,345
2025-01-23 23:50:46.852379,495,162,161,584,531
2025-01-24 00:50:46.852379,380,262,244,371,376
2025-01-24 01:50:46.852379,177,41,315,575,625
2025-01-24 02:50:46.852379,397,375,102,884,626
2025-01-24 03:50:46.852379,280,75,259,561,414
2025-01-24 04:50:46.852379,239,63,326,758,521
2025-01-24 05:50:46.852379,274,107,585,340,635
2025-01-24 06:50:46.852379,434,247,368,317,583
2025-01-24 07:50:46.852379,426,330,219,476,360
2025-01-24 08:50:46.852379,332,102,480,925,526
2025-01-24 09:50:46.852379,495,311,594,419,544
2025-01-24 10:50:46.852379,170,278,188,225,599
2025-01-24 11:50:46.852379,165,76,428,720,513
2025-01-24 12:50:46.852379,282,150,167,982,606
2025-01-24 13:50:46.852379,308,243,497,209,375
2025-01-24 14:50:46.852379,408,268,456,577,280
2025-01-24 15:50:46.852379,247,85,197,832,625
2025-01-24 16:50:46.852379,460,379,366,836,426
2025-01-24 17:50:46.852379,186,136,204,881,305
2025-01-24 18:50:46.852379,367,348,539,783,367
2025-01-24 19:50:46.852379,214,77,422,351,339
2025-01-24 20:50:46.852379,274,90,222,919,566
2025-01-24 21:50:46.852379,356,366,575,248,695
2025-01-24 22:50:46.852379,283,55,128,353,190
2025-01-24 23:50:46.852379,221,321,236,492,456
2025-01-25 00:50:46.852379,201,286,294,779,487
2025-01-25 01:50:46.852379,364,37,508,249,463
2025-01-25 02:50:46.852379,423,142,325,863,224
2025-01-25 03:50:46.852379,209,384,431,730,428
2025-01-25 04:50:46.852379,145,282,269,811,325
2025-01-25 05:50:46.852379,282,209,108,259,422
2025-01-25 06:50:46.852379,229,236,562,366,438
